https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D1%81%D1%83%D0%B1%D1%8A%D0%B5%D0%BA%D1%82%D0%BE%D0%B2_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9_%D0%A4%D0%B5%D0%B4%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D0%B8

# 	Субъект
РФ 	15.I.
1959
[4] 	15.I.
1970
[5] 	17.I.
1979
[6] 	12.I.
1989
[7] 	9.X.
2002
[8] 	14.X.
2010
[9] 	1.I.
2013
[10] 	1.I.
2014
[11] 	1.I.
2015
[12] 	1.I.
2016
[13] 	1.I.
2017
[14]
1 	Москва[15] 	5085581 	7061008 	8010954 	8967232 	10382754 	11503501 	11979529 	12108257 	12197596 	12330126 	12380664
2 	Московская область[15] 	5863003 	5774529 	6359385 	6693623 	6618538 	7095120 	7048084 	7133620 	7231068 	7318647 	7423470
3 	Краснодарский край[16] 	3477809 	4124163 	4410331 	4680560 	5125221 	5226647 	5330181 	5404273 	5453329 	5513804 	5570945
4 	Санкт-Петербург 	3321196 	3949501 	4588183 	5023506 	4661219 	4879566 	5028000 	5131942 	5191690 	5225690 	5281579
5 	Свердловская область 	4044416 	4319741 	4453491 	4716768 	4486214 	4297747 	4315830 	4320677 	4327472 	4330006 	4329341
6 	Ростовская область 	3311747 	3831262 	4080647 	4308654 	4404013 	4277976 	4254613 	4245532 	4242080 	4236000 	4231355
7 	Республика Башкортостан 	3341609 	3818075 	3848627 	3950482 	4104336 	4072292 	4060957 	4069698 	4071987 	4071064 	4066972
8 	Республика Татарстан 	2850417 	3131238 	3435644 	3637809 	3779265 	3786488 	3822038 	3838230 	3855037 	3868730 	3885253
9 	Тюменская область[17] 	1092126 	1406101 	1887152 	3080621 	3264841 	3395755 	3510683 	3546345 	3581293 	3615485 	3660030
10 	Челябинская область 	2976625 	3288801 	3438866 	3623732 	3603339 	3476217 	3485272 	3490053 	3497274 	3500716 	3502323
