https://www.electoralgeography.com/new/ru/countries/r/russia/russia-presidential-election-1991.html

Россия Россия. Президентские выборы 1991

Автор: Alex Kireev

Результаты выборов в разрезе ТИК
Регион 	N избира- телей, т.ч. 	Участие, % 	Бакатин 	Ельцин 	Жири- новский 	Макашов 	Рыжков 	Тулеев 	Против всех, % 	Недейств,,  %
Москва 	6956,7 	66,8 	4 	72 	4 	2,7 	10,6 	2,6 	1,5 	2,6
Ленинград (Спб) 	3792,2 	65,1 	3,4 	67,2 	5,6 	5,1 	10,6 	4 	2,4 	1,7
Итого 	10748,9 	66,2 	3,8 	70,3 	4,6 	3,5 	10,6 	3,1 	1,8 	2,3
Адыгея* 	318,5 	73,2 	2,3 	51,2 	10,4 	2,4 	23 	7,8 	1,2 	1,6
Алтай* 	124,9 	81,8 	2,2 	22,4 	10,2 	3,5 	32 	24,4 	1,9 	3,2
Башкирия 	2742,8 	76,1 	3 	45,9 	7,5 	5,1 	23,6 	6,5 	3,2 	5
Бурятия 	680,8 	77,8 	2,5 	34,5 	11,4 	2,3 	25 	20,1 	2 	2
Дагестан 	1035,4 	78,7 	5,6 	65,9 	2,3 	6,9 	11,4 	5,7 	1,1 	1,1
Кабардино — Балкария 	496,7 	74,4 	2,5 	63,9 	5,8 	1,9 	15,1 	8,2 	1,3 	1,2
Калмыкия 	207 	77,7 	2,7 	31,1 	10,4 	4,5 	27,7 	18,7 	2 	3,3
Карачаево — Черкесия* 	284,2 	85,7 	2,4 	61,8 	8,1 	4,1 	12,8 	7,4 	1,9 	1,6
Карелия 	560 	73,4 	3,8 	53,3 	8,1 	2,9 	18,1 	9,2 	2,9 	1,7
Коми 	781,3 	68,8 	4,9 	47,6 	8,8 	2,8 	24,6 	6,9 	2,4 	1,9
Марийская 	531,9 	76,5 	4,3 	51,4 	6,6 	4,6 	17,1 	11,2 	2,5 	2,4
Мордовия 	686,5 	82,9 	2,4 	61,6 	6,9 	5,5 	12,3 	7,7 	1,4 	2,1
Северная Осетия 	441,4 	84 	2,2 	27,3 	11,2 	7,7 	41,9 	6,4 	1,9 	1,5
Татария 	2521,1 	36,6 	4,5 	45 	9,4 	5,8 	16,7 	11,5 	3,7 	3,5
Тува 	170,8 	73,5 	1,5 	15,2 	5,5 	1,3 	62,1 	10,1 	1,6 	2,6
Удмуртия 	1117,5 	74,4 	7,7 	51,9 	4,2 	3,1 	17,4 	9,8 	2,2 	3,7
Хакасия* 	378,2 	72,9 	2,6 	53 	10 	2 	14,4 	14 	1,7 	2,3
Чечено-Ингушетия 	748,5 	82,4 	1 	76,7 	6,3 	2,9 	7,5 	3,1 	1,4 	1,1
Чувашия 	918 	78,4 	2,5 	52,3 	5,6 	6 	21,9 	6,5 	2,2 	3
Якутия 	682,6 	76,6 	3,7 	44,9 	6,7 	3,3 	24,7 	12,8 	2,1 	1,8
Итого 	15428,1 	70,3 	3,6 	50,6 	7,2 	4,4 	20,1 	9 	2,3 	2,8
Алтайский 	1883,5 	77,2 	2,7 	46,4 	11,6 	2,5 	23,6 	9,1 	1,9 	2,2
Краснодарский 	3463,3 	72,8 	3,5 	45,9 	12,9 	3,2 	24,3 	6,8 	1,8 	1,7
Красноярский 	2128,7 	71,8 	2,6 	60,1 	9,8 	1,8 	15,4 	7,2 	1,7 	1,4
Приморский 	1656,8 	71,6 	3,9 	61,5 	5,5 	5,5 	15,6 	4 	2,6 	1,5
Ставропольский 	1741 	82,3 	4,6 	46 	11,9 	4,4 	21,8 	6,9 	1,6 	2,7
Хабаровский 	1161,4 	68,6 	3,3 	59,8 	7,1 	3,2 	18,1 	4,6 	2,5 	1,5
Амурская 	713,5 	74,7 	4,7 	37,7 	9,1 	5,7 	31,2 	7,2 	2,6 	1,7
Архангельская 	1065,6 	74,4 	5,2 	56,3 	6,6 	2,6 	19,1 	6,2 	2,2 	1,7
Астраханская 	720,1 	74,7 	3,4 	56,4 	5,7 	3,5 	15,3 	11,6 	2 	2
Белгородская 	1025,1 	85,4 	3 	50,1 	10,4 	5,1 	21,9 	5,2 	2 	2,3
Брянская 	1088 	81,9 	3,7 	53,8 	9,4 	4,5 	19,3 	5,7 	1,8 	1,7
Владимирская 	1234,2 	79,9 	3,2 	61,4 	7,5 	3,5 	13,8 	6,2 	2,1 	2,2
Волгоградская 	1935 	73,3 	3,8 	55,7 	9,1 	3,2 	16,9 	5,7 	1,2 	4,4
Вологодская 	991 	77,4 	4 	53,8 	7,8 	2,9 	20,7 	6 	2 	2,8
Воронежская 	1897 	80,7 	3,8 	57,4 	9,2 	4 	18,1 	4,6 	1,8 	1,3
Ивановская 	982,3 	78 	3 	53,7 	7,2 	4,2 	19,8 	7,1 	2,3 	2,7
Иркутская 	1775,9 	71,5 	3,7 	52,8 	12,5 	2,2 	14,5 	10,4 	1,6 	2,5
Калининградская 	698,4 	74,1 	4,1 	39,1 	12,9 	4,6 	23,8 	7,5 	3,3 	4,7
Калужская 	811,1 	82,6 	3,7 	54,8 	8,6 	3,9 	19,2 	6 	2,2 	1,7
Камчатская 	305,3 	72,8 	3,5 	60,2 	5,3 	4,7 	16,5 	4,4 	3,3 	2,1
Кемеровская 	2181,7 	69,7 	1 	39,6 	5,8 	1,3 	5,1 	44,7 	1,1 	1,4
Кировская 	1199,8 	78,9 	14,7 	50,9 	6,9 	3 	9,7 	8,4 	2,1 	4,3
Костромская 	600,2 	80,8 	4,1 	49,8 	7,1 	4,5 	22,2 	7,5 	1,9 	2,9
Курганская 	767,1 	81,7 	2,4 	52,3 	7,7 	3,3 	25,1 	4,1 	2 	3,4
Курская 	968,8 	85,4 	2,3 	54,2 	9,1 	3,6 	21 	5,3 	2,3 	2,4
