https://www.electoralgeography.com/new/ru/countries/r/russia/russia-march-referendum-1991.html

Россия Россия. Мартовский Референдум 1991

Автор: Alex Kireev

Данные референдума в формате .xls
Регионы 	Всего, 	о СССР 	Проголосовали о президенте РФ 	1. «За» 	1. «Против» 	2. «За» 	2. «Против»
Агинский Бурятский АО 	45000 	87,7 	87,58 	91,9 	6,64 	39,8 	56,91
Алтайский край 	1854000 	77,92 	77,9 	79,82 	18,29 	69,48 	28,51
Амурская 	709000 	76,66 	76,65 	80,7 	17,89 	56,66 	41,1
Архангельская 	1065000 	73,68 	73,57 	70,58 	27,74 	71,09 	27,1
Астраханская 	716000 	72,39 	72,36 	75,9 	22,49 	62,19 	35,76
Белгородская 	1016000 	87,43 	87,43 	80,7 	17,9 	65,57 	32,61
Брянская 	1078000 	81,45 	81,42 	80,27 	18,3 	65,54 	32,47
Владимирская 	1221000 	78,5 	78,48 	68,64 	29,25 	72,28 	25,66
Волгоградская 	1907000 	71,53 	71,54 	66,23 	32,13 	72,78 	25,42
Вологодская 	973000 	76,28 	76,32 	68,91 	29,39 	72,95 	25,34
Воронежская 	1874000 	81,25 	81,27 	75,07 	23,29 	66,55 	31,77
Горно-Алтайская 	123000 	85,42 	85,15 	89,08 	8,79 	52,39 	42,14
Еврейская АО 	144000 	74,79 	74,76 	80,31 	17,75 	63,15 	34,54
Ивановская 	973000 	77,94 	77,94 	72,09 	25,08 	69,39 	28,14
Иркутская 	1755000 	70,57 	70,6 	71,64 	25,81 	70,93 	26,61
Кабардино-Балкарская 	489000 	76,13 	76,01 	77,93 	20,76 	64,63 	33,49
Калининградская 	691000 	75,64 	75,57 	76,46 	22,06 	61,65 	36,34
Калужская 	800000 	81,94 	81,88 	73,61 	24,46 	67,85 	30,31
Камчатская 	315000 	70,32 	70,71 	64,36 	33,54 	71,65 	26,37
Карачаево-Черкесская 	282000 	85,69 	85,64 	82,59 	15,71 	72,69 	24,62
Кемеровская 	2146000 	69,83 	70,02 	67,65 	30,24 	72,81 	24,82
Кировская 	1190000 	79,83 	79,86 	73,8 	24,19 	68,34 	29,42
Коми-Пермяцкий АО 	103000 	81,87 	81,97 	87,34 	10,47 	55,68 	41,89
Корякский АО 	26000 	78,59 	78,59 	75,45 	22,37 	71 	28
Костромская 	593000 	80,18 	80,19 	79,13 	19,04 	66,72 	31,31
Краснодарский край 	3383000 	74,59 	74,43 	80,32 	18,46 	61,98 	35,82
Красноярский край 	2122000 	72,96 	73,15 	70,12 	27,71 	70,85 	26,89
Курганская 	757000 	82,24 	82,2 	76,99 	20,98 	71,56 	26,34
Курская 	980000 	84,98 	84,54 	81,33 	17,26 	56,88 	36,87
Ленинградская 	1245000 	73,92 	74 	69,85 	26,99 	70,83 	27,05
Липецкая 	908000 	83,8 	83,8 	72,65 	25,7 	66,31 	31,75
Магаданская 	241000 	66,35 	66,34 	63,68 	34,21 	73,81 	24,33
Москва 	6972000 	67,95 	68 	50,02 	46,13 	77,84 	20,41
Московская 	5321000 	74,48 	74,47 	63,83 	33,32 	72,58 	25,47
Мурманская 	862000 	71,82 	71,56 	66,08 	32,17 	69,64 	28,33
Ненецкий АО 	35000 	75,89 	75,53 	78,25 	19,74 	63,43 	33,96
Нижегородская 	2820000 	74,1 	74,14 	66,88 	30,95 	73 	25,04
Новгородская 	562000 	74,88 	74,85 	74,44 	23,68 	68,28 	29,9
Новосибирская 	1965000 	70,74 	71,52 	69,32 	25,8 	71,05 	26,25
Омская 	1468000 	80,21 	80,23 	75,05 	23,07 	66,65 	31,13
Оренбургская 	1500000 	78,39 	78,38 	79,94 	18,12 	70,97 	26,94
