https://www.electoralgeography.com/new/ru/countries/r/russia/russia-legislative-election-1993.html


Основная RSS-лентаВыборы » Россия » Россия. Парламентские выборы 1993
Россия Россия. Парламентские выборы 1993

Автор: Alex Kireev

Результаты выборов в формате .xls
Регионы 	АПР 	ЯБЛоко 	ВР 	ДПР 	КПРФ 	ЛДПР 	ПР 	ЖР 	РДДР
Адыгея 	5,49% 	10,88% 	8,15% 	5,24% 	28,87% 	18,11% 	9,96% 	7,13% 	2,18%
Башкортостан 	24,76% 	3,88% 	8,51% 	4,45% 	15,08% 	12,56% 	13,06% 	9,23% 	2,54%
Бурятия 	5,47% 	5,76% 	13,24% 	4,79% 	15,58% 	17,32% 	17,39% 	11,96% 	2,71%
Алтай 	8,74% 	3,16% 	9,31% 	4,83% 	11,02% 	17,04% 	26,55% 	12,47% 	2,34%
Дагестан 	18,36% 	3,27% 	2,03% 	4,32% 	54,00% 	3,38% 	6,82% 	2,34% 	0,83%
Ингушская 	0,69% 	2,11% 	1,65% 	71,07% 	6,44% 	3,20% 	4,90% 	2,76% 	1,57%
Кабардино-Балкария 	12,87% 	4,24% 	6,62% 	5,23% 	20,08% 	8,79% 	31,53% 	4,62% 	2,40%
Калмыкия 	11,63% 	4,78% 	10,24% 	8,13% 	14,18% 	20,30% 	8,91% 	10,51% 	2,32%
Карачаево-Черкессия 	10,80% 	3,40% 	4,30% 	4,61% 	38,58% 	20,19% 	7,54% 	4,41% 	1,93%
Карелия 	2,60% 	11,21% 	21,80% 	5,43% 	7,32% 	21,09% 	9,05% 	12,69% 	4,12%
Коми 	5,57% 	7,09% 	21,83% 	5,26% 	7,05% 	24,31% 	7,22% 	12,18% 	3,97%
Марий-Эл 	14,17% 	4,51% 	11,42% 	6,62% 	12,55% 	24,47% 	6,49% 	10,32% 	3,07%
Мордовия 	12,46% 	5,39% 	7,65% 	4,89% 	18,74% 	35,34% 	4,03% 	6,14% 	1,68%
Якутия 	10,51% 	7,04% 	13,36% 	5,23% 	10,19% 	15,45% 	13,01% 	11,44% 	3,88%
Северная Осетия 	3,94% 	5,04% 	7,81% 	7,03% 	36,06% 	17,47% 	5,99% 	5,94% 	4,18%
Татарстан 	2,12% 	11,55% 	22,40% 	5,42% 	9,38% 	22,00% 	8,54% 	7,66% 	4,59%
Тыва 	5,56% 	2,11% 	6,15% 	2,92% 	8,40% 	9,73% 	48,38% 	9,00% 	1,72%
Удмуртия 	11,07% 	8,18% 	16,19% 	5,34% 	11,14% 	17,59% 	7,00% 	14,70% 	2,87%
Хакассия 	6,70% 	3,85% 	15,35% 	5,56% 	10,89% 	27,45% 	6,55% 	10,42% 	4,51%
Чувашия 	12,75% 	3,43% 	8,90% 	9,11% 	19,73% 	22,53% 	4,83% 	8,50% 	4,57%
Алтайский 	23,40% 	3,19% 	10,81% 	4,71% 	9,86% 	27,75% 	5,47% 	8,58% 	2,90%
Краснодарский 	7,59% 	9,51% 	11,90% 	5,65% 	16,82% 	25,48% 	7,51% 	8,57% 	3,25%
Красноярский 	7,84% 	7,29% 	13,96% 	4,98% 	9,06% 	31,17% 	6,56% 	9,28% 	5,04%
