https://www.electoralgeography.com/new/ru/countries/r/russia/russia-april-referendum-1993.html

Россия Россия. Апрель Референдум 1993

Автор: Alex Kireev

Данные референдума в формате .xls
Вопросы референдума:

Вопрос 1. «Доверяете ли Вы президенту России Б.Н.Ельцину?»

Вопрос 2. «Одобряете ли Вы социально-экономическую политику, проводимую президентом и правительством России с 1992 г.?»
Вопрос 3. «Считаете ли Вы необходимым проведение досрочных выборов президента России?»
Вопрос 4. «Считаете ли Вы необходимым проведение досрочных выборов народных депутатов России?»
Регион 	Числен-ность избира- телей, тыс, чел, 	Участие, % 	Доля ответивших от действительных бюллетеней, %

1-й вопрос 	2-й вопрос 	3-й вопрос 	4-й вопрос
Да 	Нет 	Да 	Нет 	Да 	Да
Москва 	6958 	63,7 	75,2 	23,3 	69,8 	28,1 	32,7 	80,2
С,-Петербург 	3795,1 	62,1 	72,8 	25,8 	65,1 	32,5 	36,9 	78,7
Итого 	10753,2 	63,2 	74,4 	24,2 	68,2 	29,6 	34,2 	79,7
Адыгея 	324,2 	63,7 	43,9 	54,2 	40,8 	57,2 	59,3 	58,9
Алтай 	126,1 	69,4 	48,4 	48,2 	43,4 	53,3 	54,6 	58,8
Башкирия 	2829 	70,5 	39,6 	57,8 	35,9 	61,4 	60,1 	53,6
Бурятия 	676,3 	62,9 	51,8 	45,4 	46,1 	50,8 	53,2 	60,8
Дагестан 	1086,8 	74 	14,2 	84,4 	14,1 	84,4 	74,8 	31,5
Ингушетия 	143,7 	75,5 	2,4 	97,1 	2,8 	96,6 	93,7 	6,5
Кабардино-Балкария 	500,9 	57,9 	35,8 	62,1 	33,2 	65,3 	63,1 	53,8
Карачаево-Черкесия 	287,5 	72,2 	25,9 	72,4 	24,6 	73,7 	69,4 	43,6
Карелия 	578,1 	62,5 	65 	32,8 	56,5 	40,6 	47,9 	68,3
Калмыкия 	210,3 	66,2 	67,1 	30,8 	63,9 	33,8 	43,1 	70,4
Коми 	818 	58,6 	69 	28,8 	59,9 	37,3 	44,6 	70,5
Марийская 	542,5 	65,9 	48,1 	48,9 	42,2 	54,6 	52,8 	61,3
Мордовия 	691,8 	70 	38 	59,5 	35 	62,5 	59,8 	51,2
Северная Осетия 	422,2 	70,5 	63,3 	35 	56 	42,1 	50 	67,5
Татария 	2621,6 	22,6 	66,4 	30,5 	61,4 	35 	43,5 	70,1
Тува 	172 	68,5 	56,1 	41,6 	50,4 	47,1 	51,1 	59,8
Удмуртия 	1141,3 	61 	55,9 	41,4 	48,9 	47,9 	50,8 	65,7
Хакасия 	387,6 	56,7 	57,9 	39,8 	51,8 	45,4 	50,8 	66
Чечня 	Г о л о с о в а н и е  н е  п р о в о д и л о с ь 							
Чувашия 	943,3 	71 	36,9 	60 	33,5 	63 	60,7 	53,4
Якутия 	670,2 	70,4 	68,1 	29,3 	60,7 	36,4 	45,4 	68
Итого 	15173,3 	59,4 	46,2 	51,3 	41,7 	55,7 	56,6 	56,9
Алтайский 	1931,2 	64,7 	47,7 	49,8 	42,9 	54,5 	55,7 	60,4
Краснодарский 	3527,3 	62,4 	53,8 	44,2 	49,3 	48,4 	53,8 	65,2
Красноярский 	2138,8 	61,2 	65,7 	32,6 	59,1 	38,6 	45,6 	68,7
Ставропольский 	1792 	68 	52,3 	45,3 	48 	49,4 	53,8 	65,4
Приморский 	1616,4 	55,1 	64,3 	33,2 	56,6 	40,1 	45,9 	69,7
Хабаровский 	1131,1 	58,1 	70,2 	27,7 	62,3 	35,1 	45,2 	70,2
Амурская 	677,8 	60,5 	43,2 	54,9 	39,7 	58,3 	60,2 	56,3
Архангельская 	1072,6 	66 	68,9 	29,4 	60 	37,5 	46,8 	70
Астраханская 	737,6 	59,1 	60,7 	36,8 	55 	41,9 	49,5 	68,1
Белгородская 	1050,1 	77,6 	39,6 	58,7 	36,1 	62,2 	62,6 	58,1
Брянская 	1098,7 	67,8 	44,4 	53,5 	40,9 	56,8 	59,6 	57,8
Волгоградская 	1959,5 	64,8 	53,7 	44,2 	49 	48,8 	53 	67,4
Вологодская 	987,7 	69,1 	63,3 	34,6 	56,6 	40,8 	52,9 	69,8
Воронежская 	1930,3 	72,3 	49,7 	48,5 	45,1 	53 	55,6 	64,3
Владимирская 	1238,9 	69,6 	65,8 	31,8 	58,2 	38,7 	49,7 	68,4
Ивановская 	980,7 	70 	64,7 	32,9 	58,3 	38,8 	47,2 	69,9
Иркутская 	1802,2 	58,7 	58,6 	39 	51,6 	45,5 	50,6 	69,1
Калужская 	812,5 	71,6 	53,4 	44,7 	48,2 	49,3 	53,1 	66,7
Калининградская 	697,9 	63,4 	60,3 	37,7 	54 	43,6 	48,4 	69,4
Камчатская 	302,7 	60,2 	70,3 	27,4 	61,4 	35,7 	40,7 	75,3
Кемеровская 	2204,9 	57,3 	52,5 	44,9 	47,6 	49,5 	52,8 	66,2
Кировская 	1210,7 	68,7 	58,6 	38,7 	51,1 	45,6 	51 	66,1
Костромская 	601,5 	70,4 	56,6 	41,3 	49,6 	47,9 	53,6 	65,3
Курганская 	784,8 	70,6 	50,3 	47,4 	45,4 	52 	54,6 	62,6
Курская 	997,9 	70,1 	42,1 	56 	38,7 	59,1 	60,1 	55,2
Ленинградская 	1268,3 	64,1 	59,9 	37,8 	52,8 	44,2 	47,4 	68,2
Липецкая 	924,1 	68,8 	49,2 	48,5 	44,6 	52,9 	56,4 	58,4
Магаданская 	210,1 	57,5 	74,4 	23,9 	64,8 	32,7 	40,2 	75,7
Московская 	5292,1 	65 	65,2 	32,5 	59,1 	38 	42,9 	72,7
Мурманская 	826,2 	59,4 	72,8 	25,4 	63,9 	33,9 	39,8 	75,2
Нижегородская 	2859,6 	62,4 	63,6 	34 	56,3 	40,4 	47,8 	70
Новгородская 	569,2 	66 	59,4 	38,5 	52,9 	44,5 	50 	67,6
Новосибирская 	2013,6 	62,5 	54,6 	43,3 	48,3 	49,1 	52,2 	68,6
Омская 	1512,7 	68,3 	56,1 	41,5 	49,7 	47,5 	51,1 	66,7
Оренбургская 	1551,1 	65,1 	50,1 	47,5 	45,8 	51,6 	55,4 	63,2
Орловская 	688,5 	68,4 	46,3 	51,8 	42,6 	55,3 	59,7 	59,9
Пензенская 	1161 	70,8 	45,3 	52,6 	41,1 	56,6 	58,8 	57,5
