http://www.electoralgeography.com/ru/countries/r/russia/1996-president-elections-russia.html

	Первый тур 	Второй тур
Ельцин Б.Н. 	Зюганов Г.А. 	Лебедь А.И. 	Явлинский Г.А. 	Жириновский В.В. 	Ельцин Б.Н. 	Зюганов Г.А. 	против всех
Республика Адыгея (Адыгея) 	20,02 	51,5 	13,99 	5,29 	5,07 	34,48 	60,53 	3,43
Республика Алтай 	28,48 	43,61 	13,03 	3,46 	4,83 	43,04 	51,68 	3,79
Республика Башкортостан 	34,19 	41,86 	8,93 	6,78 	2,87 	51,01 	43,14 	3,64
Республика Бурятия 	30,59 	40,22 	10,57 	7,59 	4,84 	45,3 	49,5 	3,77
Республика Дагестан 	28,52 	63,23 	1,34 	1,7 	1,12 	52,65 	44,81 	0,83
Республика Ингушетия 	46,26 	24,49 	2,24 	15,19 	1,74 	79,8 	15,52 	3,3
Кабардино-Балкарская Республика 	43,75 	37,25 	9,8 	3,36 	1,43 	63,61 	33,18 	1,95
Республика Калмыкия 	58,49 	25,72 	5,42 	2,5 	3,57 	70,27 	26,71 	1,98
Карачаево-Черкесская Республика 	25,82 	55,42 	8,77 	3,07 	2,49 	49,89 	46,09 	2,4
Республика Карелия 	42,36 	16,99 	12,04 	14,27 	8,48 	66,21 	26,39 	6,6
Республика Коми 	40,48 	16,32 	18,17 	9,45 	9,82 	64,36 	28,03 	6,59
Республика Марий Эл 	24,35 	43,44 	10,97 	7,37 	7,43 	40,74 	52,78 	5,18
Республика Мордовия 	24,14 	49,71 	10,64 	3 	6,86 	45,63 	47,74 	3,12
Республика Саха (Якутия) 	51,85 	20,55 	12,61 	4,68 	3,65 	64,65 	29,87 	4,07
Респуб. Северная Осетия - Алания 	19,28 	62,33 	9,6 	1,8 	3,23 	43 	52,82 	2,35
Республика Татарстан (Татарстан) 	38,34 	38,1 	7,38 	6,9 	2,58 	61,45 	32,31 	3,64
Республика Тыва 	59,93 	21,17 	4,54 	4,22 	3,02 	63,07 	32,11 	2,09
Удмуртская Республика 	36,81 	30,47 	11,52 	9,23 	5,99 	52,83 	40,73 	5,42
Чеченская Республика 	65,11 	16,32 	2,54 	4,25 	1,4 	73,38 	21,54 	4,04
Чувашская Республика 	20,55 	53,93 	7,65 	4,57 	4,25 	31,82 	62,59 	3,34
Алтайский край 	21,8 	41,97 	19,39 	5,05 	7,38 	38,56 	55,52 	4,96
Краснодарский край 	26,26 	39,42 	17,49 	6,36 	6,38 	43,89 	51,48 	3,81
Республика Хакасия 	29,24 	35,48 	12,53 	7,25 	9,69 	47,18 	47,15 	4,79
Красноярский край 	34,8 	28,52 	13,87 	10,01 	7,58 	53,43 	40,01 	5,65
Приморский край 	29,55 	24,56 	19,47 	7,16 	12,73 	52,26 	39,41 	7,4
Ставропольский край 	22 	43,93 	19,34 	4,1 	6,19 	40,93 	53,93 	4,2
Хабаровский край 	39,01 	22,92 	12,24 	10,42 	8,65 	58,98 	33,72 	6,54
Амурская область 	26,6 	41,85 	11,84 	6,06 	7,91 	40,67 	53,07 	5,44
Архангельская область 	40,85 	18,32 	17,28 	10,79 	6,56 	63,91 	27,75 	7,46
Астраханская область 	29,52 	36,54 	16,14 	6,04 	7,16 	46,85 	47,79 	4,42
Белгородская область 	22,87 	46,35 	16,95 	5,75 	4,31 	36,28 	58,57 	4,09
Брянская область 	26,23 	49,58 	11,6 	3,48 	5,09 	36,29 	59,23 	3,44
Владимирская область 	30,89 	29,87 	19,91 	7,39 	6,71 	51,56 	41,86 	5,64
Волгоградская область 	28,59 	40,04 	13,65 	6,43 	6,55 	44,21 	50,48 	4,55
Вологодская область 	45,17 	18,66 	17,63 	5,92 	7,12 	63,97 	28,49 	6,82
Воронежская область 	22,65 	45,48 	17,46 	4,43 	5,84 	36,97 	57,64 	4,58
Ивановская область 	29,6 	23,22 	29,59 	6,08 	7 	53,2 	39,06 	6,91
Иркутская область 	32,2 	27,57 	16,29 	8,86 	8,48 	52,64 	39,77 	6,29
Калининградская область 	33,46 	23,08 	19,31 	12,85 	7,2 	57,69 	35,34 	6,14
Калужская область 	31,43 	35,42 	15,6 	7,46 	5,11 	48,59 	45,58 	4,98
Камчатская область 	34,29 	18,69 	14,06 	17,28 	9,96 	61,81 	29,47 	7,98
Кемеровская область 	23,02 	38,88 	15,29 	5,34 	11,63 	41,54 	51,54 	5,86
Кировская область 	31,24 	28,96 	13,7 	12,15 	8,62 	50,7 	41,57 	6,78
Костромская область 	28,02 	28,57 	23,26 	7,77 	7,62 	49,86 	42,7 	6,64
Курганская область 	29,25 	37,53 	11,14 	6,61 	9,99 	43,41 	50,22 	5,41
Курская область 	24,06 	51,13 	11,06 	5,38 	3,89 	36,24 	58,92 	3,47
Ленинградская область 	37,46 	23,17 	18,12 	11,6 	4,29 	61,35 	32,3 	5,69
Липецкая область 	25,08 	46,37 	13,16 	5,56 	5,32 	38,62 	56,3 	4,05
Магаданская область 	36,93 	16,04 	23,86 	6,15 	10,91 	63,57 	27,54 	8,22
Московская область 	44,15 	24,05 	15,07 	7,87 	3 	64,2 	29,89 	5,08
Мурманская область 	40,62 	12,09 	25,43 	9,68 	6,98 	70,13 	21,88 	7,36
Нижегородская область 	34,83 	32,53 	14,77 	7,14 	5,43 	51,74 	42,35 	4,88
Новгородская область 	35,68 	23,71 	18,48 	11 	6,2 	59,14 	33,99 	6,15
Новосибирская область 	25,61 	34,96 	10 	13,94 	9,76 	43,74 	48,9 	6,28
Омская область 	32,8 	36,99 	8,37 	8,96 	6,95 	46,23 	47,51 	5,14
Оренбургская область 	25,96 	42,13 	13,62 	5,84 	7,51 	40,81 	53,94 	4,2
Орловская область 	21,46 	54,25 	11,8 	3,89 	4,41 	32,05 	63,28 	3,83
Пензенская область 	20,81 	50,6 	12,06 	6,93 	5,29 	35,5 	58,95 	4,59
Пермская область 	55,27 	16,12 	9,69 	7,21 	6,24 	70,84 	23,57 	4,56
Псковская область 	24,81 	30,39 	23,56 	7,04 	10,19 	45,23 	48,08 	5,87
Ростовская область 	29,08 	34,99 	20,04 	7,7 	4,61 	50,67 	44,17 	4,25
Рязанская область 	24,7 	40,07 	19,81 	5,6 	5,43 	42,57 	51,62 	4,92
Самарская область 	36,13 	35,17 	11,65 	6,16 	5,61 	51,95 	42,69 	4,51
