http://www.electoralgeography.com/ru/countries/r/russia/2003-legislative-elections-russia.html

 	Участие, % 	СПС 	РПП \ РСС 	 ЯБЛОКО 	 АПР 	 Родина 	 ЛДПР 	Единая Россия 	 КПРФ 	Против всех
Адыгея 	54,8 	0,9 	1,4 	1,7 	2,1 	7,5 	8,8 	51,3 	14,8 	3,9
Алтай 	59,8 	2 	1,5 	2,5 	31,7 	3,7 	8,7 	26,4 	11 	2,8
Башкортостан 	75,8 	3 	3,2 	3,6 	4,7 	6,5 	11 	38,9 	13 	2,8
Бурятия 	51,3 	5,9 	2,7 	3,3 	5,7 	5 	11 	34,7 	14,9 	3,3
Дагестан 	84 	4,2 	0,3 	0,8 	1,1 	0,6 	0,4 	65,9 	18,4 	0,5
Ингушетия 	66,3 	1,3 	0,8 	3,3 	0,5 	0,6 	1 	57 	1 	1,5
Кабардино-Балкария 	82,1 	1,2 	1,1 	0,7 	2,2 	2,7 	2,8 	77 	6,8 	1,3
Калмыкия 	62,4 	3,1 	2,2 	1,9 	2,8 	6,5 	5,2 	50,7 	10,6 	4,6
Карачаево-Черкесия 	53 	9,5 	2 	1,8 	2,2 	4,8 	5,1 	49,6 	13,2 	2,2
Карелия 	52,8 	5,5 	2,9 	7,7 	2,1 	7,3 	14,4 	37,9 	8 	5,7
Коми 	53,3 	4,4 	3,8 	5,6 	3,5 	8,6 	15,9 	33 	8,7 	5,8
Марий Эл 	56,4 	2,3 	2 	2,4 	7,8 	7,3 	11,7 	34,6 	14,8 	6,1
Мордовия 	82,6 	2 	0,5 	0,8 	0,8 	2,8 	4,2 	76,1 	6,6 	1,6
Саха (Якутия) 	72,7 	12,2 	2,7 	2,4 	1,9 	8,9 	7,9 	38,9 	9 	5,2
Северная Осетия 	50,2 	5,4 	2,3 	1,1 	5,6 	4,8 	5,5 	46,7 	15,1 	2
Татарстан 	77,1 	1,5 	1,8 	2,5 	0,9 	3,7 	6 	59,5 	8,9 	4,4
Тувинский  	55,5 	0,9 	1,8 	1,6 	1,2 	2,8 	4 	66,8 	7,6 	1,7
Удмуртия 	58,4 	4,3 	2,1 	2,4 	4,9 	6,8 	13 	42,1 	9,8 	5
Хакасия 	49,8 	2,3 	2,8 	4,2 	3,9 	9,3 	15,8 	30,4 	19 	4,2
Чечня 	88,6 	4,6 	0,5 	1 	0,2 	0,4 	1,8 	79,8 	1,8 	0,8
Чувашия 	58,4 	3,5 	1,8 	2,5 	6,8 	6 	8,4 	37,3 	17,9 	3,5
Алтайский 	58,2 	3,3 	2,3 	3,4 	10,5 	6,9 	14,5 	29,6 	17,9 	3,7
Краснодарский  	52,3 	2 	1,9 	2,8 	3,4 	10,8 	12,4 	37,1 	17,2 	4,4
Красноярский  	45 	2,8 	2,2 	3,5 	3,6 	17,4 	12,9 	29,9 	13,4 	7,1
Приморский 	45,7 	3,1 	2,9 	7,2 	2,5 	7,5 	19,5 	27,5 	14,9 	5,4
Ставропольский  	49,4 	1,9 	4,3 	2,7 	5,5 	9,9 	15 	32 	13,7 	4,8
Хабаровский  	47,1 	3,3 	3,4 	6 	1,9 	6,6 	17,6 	34,3 	12,1 	5,9
Амурская 	51,5 	1,7 	3,3 	3,6 	4,8 	5,6 	18,5 	32,3 	16,1 	5,1
Архангельская 	58,8 	3,7 	4,5 	4,7 	4 	9,4 	13 	37,9 	7,6 	5,7
Астраханская 	53,5 	2,4 	2,2 	2,6 	3,7 	11,6 	13,5 	31,7 	16,5 	4,8
Белгородская 	66,6 	1,7 	4 	2,9 	5,7 	10,2 	11,6 	33,1 	15,6 	5,5
Брянская 	53,7 	2,4 	1,9 	2,3 	4,1 	8,6 	11,7 	34,7 	20,1 	4,4
Владимирская 	47,3 	3 	4,6 	4,2 	4,3 	10,5 	13,7 	30,4 	13,8 	5,2
Волгорадская 	50,7 	4 	2,6 	3,4 	3,8 	9,9 	14,8 	28,9 	19,3 	4,4
Вологодская 	56,3 	3,7 	3,4 	3,1 	9,2 	7,9 	11,7 	38,9 	8,8 	3,6
Воронежская 	52,5 	2,9 	2,3 	2,7 	4,1 	19,9 	13,4 	25,9 	16,3 	4,4
Ивановская 	51,1 	3,9 	3,2 	4,2 	4,8 	9,3 	14,3 	33,6 	11,5 	6,2
Иркутская 	45,6 	2,8 	3,1 	5,3 	2,5 	7,3 	16,4 	32,8 	16,3 	4,4
Калининградская 	46,6 	4,1 	2,8 	5 	2,2 	10,2 	15,5 	32 	12 	5,8
Калужская 	52,5 	3,1 	2,7 	4 	4,2 	11,8 	11,8 	35,1 	13 	5,2
Камчатский  	51 	3,5 	2,8 	7,3 	2,4 	8,2 	16,8 	35 	8,6 	5,4
Кемеровская 	56,4 	2,3 	1,7 	3,8 	2 	6,2 	13,4 	52,1 	8 	4,1
Кировская 	59,6 	3,5 	3,7 	3,6 	8,4 	7,8 	14,6 	32,9 	11,1 	3,6
Костромская 	57,1 	2,6 	2,8 	3,9 	6,5 	9,5 	14,5 	34,1 	10,7 	4,3
Курганская 	56,6 	1,4 	2,8 	3,1 	6,2 	5,5 	19,2 	33,6 	15,8 	3,8
Курская 	54,8 	1,8 	2,8 	2,4 	5,5 	9 	15 	30,1 	15 	4,9
Ленинградская 	46,4 	4,1 	3,9 	4,2 	3 	10,9 	12 	38,1 	9,1 	3,8
Липецкая 	52,3 	2,6 	2,3 	2,7 	5,7 	10,9 	13,6 	28,2 	17,7 	5,8
