http://www.electoralgeography.com/ru/countries/r/russia/2004-president-elections-russia.html

 	Глазьев 	Малышкин 	Миронов 	Путин 	Хакамада 	Харитонов 	против всех
Республика Адыгея (Адыгея)  	2,89 	1,44 	0,47 	76,42 	1,51 	14,06 	2,51
Республика Алтай  	3,39 	1,38 	0,73 	75,03 	3,51 	13,48 	1,71
Республика Башкортостан  	1,11 	0,49 	0,33 	91,79 	1,12 	3,96 	0,71
Республика Бурятия  	2,86 	1,62 	0,77 	66,58 	7,21 	17,08 	2,66
Республика Дагестан  	0,24 	0,16 	0,17 	94,59 	0,25 	3,82 	0,44
Республика Ингушетия  	0,12 	0,19 	0,73 	98,18 	0,1 	0,52 	0,06
Кабардино-Балкарская Республика  	0,37 	0,14 	0,12 	96,49 	0,31 	2,22 	0,25
Республика Калмыкия  	2,27 	0,96 	0,38 	79,23 	4 	11,13 	1,17
Карачаево-Черкесская Республика  	1,6 	0,78 	0,44 	82,28 	1,51 	11,45 	1,37
Республика Карелия  	2,68 	2,26 	1,1 	74,14 	5,48 	10,13 	3,56
Республика Коми  	3,33 	2,59 	0,84 	73,59 	3,67 	11,65 	3,61
Республика Марий Эл  	4,11 	2,4 	0,83 	67,3 	3,24 	18,14 	3,1
Республика Мордовия  	1,01 	0,66 	0,24 	91,35 	0,66 	4,53 	0,75
Республика Саха (Якутия)  	3,35 	1,57 	0,73 	69,76 	8,74 	11,33 	3,58
Республика Северная Осетия - Алания  	0,5 	0,33 	0,23 	91,25 	0,45 	6,27 	0,44
Республика Татарстан (Татарстан)  	2,41 	1,06 	1,02 	82,6 	3,1 	6,64 	2,16
Республика Тыва  	1,3 	0,72 	0,47 	87,53 	1,99 	6,02 	1,02
Удмуртская Республика  	4 	2,6 	0,8 	75,97 	3,87 	9,35 	2,33
Республика Хакасия  	6,92 	3,32 	1,06 	61,41 	4,03 	18,36 	4,01
Чеченская Республика  	0,64 	0,37 	0,36 	92,35 	2,64 	2,26 	0,81
Чувашская Республика - Чувашия  	2,83 	1,79 	0,62 	67,12 	2,52 	21,52 	2,08
Алтайский край  	4,16 	2,91 	0,77 	67,64 	2,82 	18,4 	2,29
Краснодарский край  	4,13 	1,88 	0,58 	67,37 	2,87 	19,29 	3,09
Красноярский край  	17,24 	2,08 	0,65 	60,31 	4,03 	11,09 	3,88
Приморский край  	5,62 	4,32 	1 	59,33 	5,64 	17 	6,08
Ставропольский край  	3,78 	2,47 	0,74 	64,54 	2,89 	21,32 	3,54
Хабаровский край  	5,74 	3,34 	1,12 	64,52 	5,07 	13,02 	6,23
Амурская область  	4,6 	3,43 	0,9 	64,87 	3,46 	18,74 	3,18
Архангельская область  	3,04 	1,85 	0,78 	77,42 	4,23 	9,44 	2,69
Астраханская область  	4,77 	2,19 	0,68 	66,08 	3,44 	18,28 	3,59
Белгородская область  	4,96 	2,56 	0,83 	54,82 	3,18 	27,62 	4,85
Брянская область  	4,07 	2 	0,92 	63,57 	2,31 	23,28 	3
Владимирская область  	4,4 	2,4 	0,86 	68,83 	2,99 	15,45 	4,15
Волгоградская область  	4,14 	2,21 	0,74 	63,03 	3,68 	21,96 	3,44
Вологодская область  	3,16 	1,85 	1,05 	75,77 	3,25 	11,51 	2,69
Воронежская область  	3,37 	2,21 	0,87 	65,28 	2,93 	21,96 	2,67
Ивановская область  	4,34 	2,95 	0,9 	67,21 	3,53 	16,37 	4,07
Иркутская область  	5,75 	3,99 	1 	61,92 	5,57 	16,78 	4,21
Калининградская область  	5,03 	1,97 	1,09 	69,82 	4,4 	11,81 	5,02
Калужская область  	4,49 	1,82 	0,65 	70,16 	3,66 	14,73 	3,66
Камчатская область  	5,58 	2,59 	0,89 	71,83 	5,05 	9,25 	4,29
Кемеровская область  	4,14 	3,44 	1,03 	71,51 	3,63 	11,31 	4,02
Кировская область  	4,59 	2,63 	0,98 	65,52 	3,31 	19,61 	2,74
Костромская область  	3,21 	2,21 	1,01 	69,22 	2,77 	18,54 	2,5
Курганская область  	3,47 	4 	0,72 	66,94 	2,35 	19,16 	2,67
Курская область  	3,81 	2,37 	0,86 	65,24 	2,38 	21,08 	3,23
Ленинградская область  	3,17 	1,34 	1,06 	77,1 	3,47 	10,17 	3,07
Липецкая область  	3,89 	2,66 	0,75 	63,62 	2,29 	21,28 	4,56
Магаданская область  	4,42 	3,06 	0,96 	70,05 	6,24 	10,35 	4,34
Московская область  	5,82 	1,57 	0,61 	71,13 	4,2 	10,64 	5,13
Мурманская область  	4 	2,54 	0,97 	74,04 	5,03 	8,14 	4,79
Нижегородская область  	3,94 	2,2 	0,78 	65,88 	5,1 	17,22 	4,17
Новгородская область  	3,52 	2,43 	0,84 	71,74 	3,55 	13,9 	3,46
Новосибирская область  	4,44 	1,75 	0,61 	63,1 	4,35 	21,59 	3,13
Омская область  	3,68 	3,1 	0,74 	67,03 	4,04 	17,4 	3,13
Оренбургская область  	4,99 	3,67 	0,73 	58,79 	2,66 	24,57 	3,63
Орловская область  	3,89 	2,29 	0,77 	61,66 	2,52 	24,03 	3,83
Пензенская область  	5,62 	2,23 	0,73 	64,56 	2,49 	20,16 	3,11
Пермская область  	3,75 	2,64 	1,02 	72,74 	5,18 	10,1 	3,77
Псковская область  	3,49 	1,62 	1,18 	70,79 	3,13 	16,64 	2,49
Ростовская область  	3,69 	2,33 	0,61 	72,49 	3,01 	14,22 	3
Рязанская область  	4,29 	1,68 	0,64 	73,25 	2,63 	13,73 	2,69
Самарская область  	4,68 	2,35 	0,96 	63,27 	4,31 	19,13 	4,17
Саратовская область  	3,2 	1,86 	0,63 	70,79 	2,56 	17,02 	2,95
Сахалинская область  	4,09 	2,57 	0,71 	68,41 	5,01 	14,1 	4,29
Свердловская область  	3,6 	2,18 	0,67 	76,31 	5,61 	7,76 	2,83
Смоленская область  	3,69 	2,37 	0,78 	64,91 	3,02 	20,88 	3,7
Тамбовская область  	3,09 	1,98 	0,59 	63,62 	2,1 	24,31 	3,34
Тверская область  	3,98 	1,89 	0,79 	70,59 	3,48 	15,39 	3,42
Томская область  	3,72 	2,46 	1,11 	67,15 	6,6 	13,36 	4,89
Тульская область  	5,11 	1,96 	0,61 	65,41 	3,23 	18,54 	4,44
Тюменская область  	3,69 	2,81 	0,81 	73,59 	3,67 	11,22 	3,4
Ульяновская область  	5,57 	2,08 	0,83 	66 	2,31 	19,3 	2,79
Челябинская область  	3,42 	2,47 	0,73 	70,18 	3,97 	14,18 	4,1
Читинская область  	3,11 	2,86 	0,93 	72,49 	2,57 	14,78 	2,31
Ярославская область  	4,88 	2,18 	0,92 	70,82 	4,41 	12,18 	3,55
Город Москва  	6,28 	1,23 	0,62 	68,65 	8,18 	7,38 	6,59
Город Санкт-Петербург  	4,14 	0,8 	1,46 	75,12 	6,74 	7,39 	3,86
Еврейская автономная область  	3,25 	3,32 	0,97 	67,87 	4,08 	15,47 	3,95
Агинский Бурятский автономный округ  	1,66 	1,19 	0,6 	84,25 	3,24 	7,82 	0,57
Коми-Пермяцкий автономный округ  	1,58 	1,82 	1,11 	80,55 	2,2 	10,44 	1,23
Корякский автономный округ  	2,37 	1,66 	0,79 	84,34 	3,27 	4,89 	1,24
Ненецкий автономный округ  	2,68 	2 	1,26 	76,9 	3,94 	8,42 	3,97
Таймырский (Долгано-Ненецкий) автономный округ  	4,3 	2,23 	0,84 	79,05 	5,58 	3,9 	3,51
Усть-Ордынский Бурятский автономный округ  	2,13 	2,25 	0,94 	72,76 	4,83 	14,34 	1,25
Ханты-Мансийский автономный округ - Югра  	3,51 	2,94 	0,69 	74,84 	5,25 	7,44 	4,65
Чукотский автономный округ  	2,25 	1,39 	0,65 	87,24 	3,03 	3,08 	1,69
Эвенкийский автономный округ  	4,56 	1,39 	0,71 	81,09 	4,43 	4,34 	2,89
Ямало-Ненецкий автономный округ  	2,38 	1,47 	0,47 	84,5 	3,74 	3,93 	2,86
Город Байконур (Республика Казахстан) 	2,62 	1,1 	0,73 	83,62 	3,46 	4,02 	3,84
Территория за пределами РФ 	3,17 	0,77 	0,59 	81,45 	5,03 	5,69 	2,9
Сумма 	4,11 	2,03 	0,76 	71,22 	3,85 	13,74 	3,46
