https://ru.wikipedia.org/wiki/%D0%92%D1%8B%D0%B1%D0%BE%D1%80%D1%8B_%D0%B2_%D0%93%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%83%D1%8E_%D0%B4%D1%83%D0%BC%D1%83_(2007)

Регион 	Явка 	ЕР 	КПРФ 	ЛДПР 	СР 	«АПР» 	«Яблоко» 	«ГС» 	«СПС» 	ПР 	«ПСС» 	«ДПР» 	Исп.[53]
Приморский край 	56,90 % 	54,87 % 	11,90 % 	13,46 % 	10,14 % 	2,61 % 	1,70 % 	1,07 % 	0,85 % 	1,47 % 	0,29 % 	0,16 % 	1,46 %
Хабаровский край 	61,39 % 	60,68 % 	10,98 % 	13,39 % 	6,81 % 	1,8 % 	1,65 % 	1,03 % 	0,93 % 	1,08 % 	0,27 % 	0,19 % 	1,18 %
Амурская область 	86,42 % 	69,75 % 	10,16 % 	10,13 % 	3,93 % 	1,60 % 	0,67 % 	0,54 % 	1,44 % 	0,63 % 	0,18 % 	0,11 % 	0,55 %
Агинский Бурятский автономный округ 	86,42 % 	83,24 % 	4,50 % 	6,07 % 	2,37 % 	2,08 % 	0,34 % 	0,20 % 	0,19 % 	0,29 % 	0,11 % 	0,05 % 	0,55 %
Республика Саха 	70,33 % 	63,99 % 	9,48 % 	6,26 % 	13,19 % 	1,80 % 	0,73 % 	0,51 % 	2,13 % 	0,53 % 	0,25 % 	0,11 % 	1,02 %
Сахалинская область 	54,39 % 	62,96 % 	14,55 % 	10,07 % 	5,99 % 	1,09 % 	1,36 % 	0,95 % 	0,50 % 	0,96 % 	0,21 % 	0,14 % 	1,20 %
Камчатский край 	56,95 % 	63,67 % 	8,06 % 	11,45 % 	6,14 % 	2,11 % 	1,47 % 	1,39 % 	0,52 % 	2,12 % 	0,26 % 	0,21 % 	2,6 %
Магаданская область 	60,30 % 	55,31 % 	11,68 % 	15,41 % 	8,69 % 	1,94 % 	1,39 % 	1,80 % 	0,73 % 	1,53 % 	0,31 % 	0,16 % 	1,05 %
Еврейская автономная область 	64,55 % 	66,22 % 	14,09 % 	8,50 % 	4,63 % 	1,36 % 	0,83 % 	0,66 % 	0,94 % 	0,58 % 	0,23 % 	0,19 % 	1,77 %
Чукотский автономный округ 	78,66 % 	78,13 % 	3,05 % 	7,44 % 	2,77 % 	1,20 % 	0,94 % 	0,88 % 	0,30 % 	0,49 % 	0,20 % 	0,11 % 	4,49 %
Красноярский край 	59,54 % 	60,68 % 	12,72 % 	10,57 % 	7,91 % 	2,53 % 	1,24 % 	0,82 % 	1,30 % 	0,84 % 	0,22 % 	0,13 % 	1,24 %
Иркутская область 	59,03 % 	58,50 % 	10,83 % 	11,49 % 	9,24 % 	3,65 % 	1,19 % 	0,80 % 	1,52 % 	0,87 % 	0,26 % 	0,15 % 	1,19 %
