https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B5%D0%B7%D0%B8%D0%B4%D0%B5%D0%BD%D1%82%D1%81%D0%BA%D0%B8%D0%B5_%D0%B2%D1%8B%D0%B1%D0%BE%D1%80%D1%8B_%D0%B2_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8_(2008)

Субъект РФ 	Число избирателей* 	Число недействительных** 	Богданов А. В. 	Жириновский В. В. 	Зюганов Г. А. 	Медведев Д. А.
Республика Адыгея 	333887 	1963 	1861 (0.85 %) 	15092 (6.95 %) 	46686 (21.51 %) 	151441 (69.77 %)
Республика Алтай 	141813 	1264 	1123 (1.03 %) 	8937 (8.20 %) 	17206 (15.79 %) 	80463 (73.82 %)
Республика Башкортостан 	2922491 	15375 	15859 (0.60 %) 	75500 (2.87 %) 	208679 (7.93 %) 	2315467 (88.01 %)
Республика Бурятия 	678759 	6667 	50007 (1.03 %) 	40110 (8.29 %) 	89315 (18.46 %) 	342736 (70.84 %)
Республика Дагестан 	1433651 	2530 	1975 (0.15 %) 	6351 (0.49 %) 	93073 (7.24 %) 	1190974 (91.92 %)
Республика Ингушетия 	165968 	106 	165 (0.11 %) 	10257 (6.69 %) 	2258 (1.47 %) 	140442 (91.66 %)
Кабардино-Балкарская Респ. 	517715 	550 	757 (0.16 %) 	10787 (2.27 %) 	41075 (8.65 %) 	421551 (88.80 %)
Республика Калмыкия 	211674 	1484 	1380 (0.96 %) 	5926 (4.14 %) 	31908 (22.30 %) 	102407 (71.56 %)
Карачаево-Черкесская Респ. 	302748 	723 	523 (0.19 %) 	3581 (1.28 %) 	22104 (7.92 %) 	252197 (90.35 %)
Республика Карелия 	564678 	3793 	5474 (1.74 %) 	39420 (12.52 %) 	54398 (17.28 %) 	211670 (67.25 %)
Республика Коми 	748397 	6013 	6770 (1.26 %) 	59601 (11.09 %) 	79451 (14.79 %) 	385447 (71.74 %)
Республика Марий Эл 	510777 	4836 	4153 (0.97 %) 	26643 (6.25 %) 	61497 (14.42 %) 	329257 (77.22 %)
Республика Мордовия 	657715 	3367 	1541 (0.25 %) 	12814 (2.10 %) 	41473 (6.79 %) 	551382 (90.31 %)
Республика Саха 	594480 	6645 	7701 (1.73 %) 	37743 (8.47 %) 	91503 (20.53 %) 	322060 (67.78 %)
Респ. Северная Осетия 	483927 	6871 	2007 (0.57 %) 	16350 (4.61 %) 	69189 (19.53 %) 	259910 (73.35 %)
Республика Татарстан 	2831072 	24858 	28975 (1.23 %) 	130820 (5.55 %) 	304789 (12.93 %) 	1867921 (79.24 %)
Республика Тыва 	164110 	1543 	772 (0.58 %) 	4174 (3.16 %) 	7638 (5.78 %) 	118091 (89.32 %)
Удмуртская Республика 	1217874 	9015 	10913 (1.40 %) 	84527 (10.81 %) 	126537 (16.18 %) 	551026 (70.46 %)
Республика Хакасия 	389905 	3389 	3614 (1.48 %) 	33750 (13.86 %) 	55469 (22.79 %) 	147208 (60.47 %)
Чеченская Республика 	587164 	610 	4533 (0.85 %) 	43617 (8.15 %) 	11723 (2.19 %) 	474778 (88.70 %)
Чувашская Республика 	955051 	13685 	7064 (1.01 %) 	56021 (7.99 %) 	158270 (22.57 %) 	466170 (66.48 %)
Алтайский край 	1999177 	15532 	13930 (1.14 %) 	170214 (13.95 %) 	284159 (23.28 %) 	736578 (60.35 %)
Забайкальский край 	809100 	6083 	5801 (1.02 %) 	84151 (14.75 %) 	98958 (17.35 %) 	375407 (65.81 %)
Камчатский край 	260211 	2058 	2309 (1.51 %) 	19748 (12.92 %) 	22679 (14.83 %) 	106085 (69.39 %)
Краснодарский край 	3556142 	40913 	25771 (0.83 %) 	185683 (5.97 %) 	522725 (16.82 %) 	2332581 (75.06 %)
Красноярский край 	2129015 	18301 	18881 (1.45 %) 	183476 (14.07 %) 	268938 (20.62 %) 	814842 (62.47 %)
Пермский край 	2106200 	14709 	17752 (1.51 %) 	155391 (13.23 %) 	196124 (16.70 %) 	790268 (67.30 %)
Приморский край 	1514321 	15578 	15526 (1.60 %) 	129205 (13.28 %) 	191401 (19.68 %) 	620968 (63.84 %)
Ставропольский край 	1929075 	13629 	13297 (1.04 %) 	127003 (9.94 %) 	295813 (23.16 %) 	827517 (64.79 %)
Хабаровский край 	1046739 	12171 	15756 (2.02 %) 	110306 (14.17 %) 	141191 (18.13 %) 	499291 (64.12 %)
Амурская область 	646683 	6073 	5066 (1.12 %) 	63972 (14.15 %) 	89329 (19.76 %) 	287525 (63.62 %)
Архангельская область 	1001888 	5855 	10475 (1.68 %) 	72472 (11.63 %) 	116981 (18.77 %) 	417355 (66.98 %)
Астраханская область 	754985 	4506 	3780 (0.75 %) 	29298 (5.80 %) 	87345 (17.29 %) 	380350 (75.28 %)
Белгородская область 	1187119 	14984 	8863 (0.96 %) 	63123 (6.82 %) 	200170 (21.64 %) 	638068 (68.96 %)
Брянская область 	1043197 	8197 	6561 (0.99 %) 	56409 (8.59 %) 	179510 (27.34 %) 	405819 (61.82 %)
Владимирская область 	1217308 	7900 	9557 (1.41 %) 	78084 (11.53 %) 	147833 (21.84 %) 	433585 (64.05 %)
Волгоградская область 	1844337 	12025 	13235 (1.11 %) 	135793 (11.37 %) 	289613 (24.25 %) 	743775 (62.27 %)
Вологодская область 	983232 	6629 	9622 (1.46 %) 	84554 (12.86 %) 	105319 (16.02 %) 	451220 (68.64 %)
Воронежская область 	1910819 	16714 	12642 (0.95 %) 	119728 (8.95 %) 	301963 (22.58 %) 	886362 (66.27 %)
Ивановская область 	883063 	5521 	6877 (1.47 %) 	57263 (12.27 %) 	94049 (20.15 %) 	302963 (64.92 %)
Иркутская область 	1863300 	15003 	19854 (1.65 %) 	169507 (14.05 %) 	263217 (21.82 %) 	738793 (61.24 %)
Калининградская область 	742480 	6119 	6997 (1.61 %) 	50599 (11.67 %) 	100667 (23.21 %) 	269257 (62.09 %)
