https://ru.wikipedia.org/wiki/%D0%92%D1%8B%D0%B1%D0%BE%D1%80%D1%8B_%D0%B2_%D0%93%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%83%D1%8E_%D0%B4%D1%83%D0%BC%D1%83_(2016)

ОИК 	Явка 	ЕР 	КПРФ 	ЛДПР 	СР 	КР 	Ябл. 	РППС 	Род. 	ПР 	Зел. 	ПНС 	ПР 	ГП 	ГС 	Н/д
Приморский край 	37,43 % 	38,98 % 	17,95 % 	19,66 % 	5,16 % 	3,38 % 	1,79 % 	3,80 % 	1,87 % 	1,51 % 	0,82 % 	0,86 % 	0,45 % 	0,21 % 	0,17 % 	3,37 %
Хабаровский край 	36,93 % 	37,31 % 	16,46 % 	25,01 % 	4,52 % 	3,31 % 	1,85 % 	2,99 % 	1,60 % 	1,11 % 	1,22 % 	1,13 % 	0,42 % 	0,23 % 	0,17 % 	2,67 %
Амурская область 	42,47 % 	37,91 % 	16,65 % 	29,02 % 	4,15 % 	2,49 % 	0,88 % 	2,54 % 	1,28 % 	0,63 % 	0,72 % 	0,45 % 	0,52 % 	0,17 % 	0,17 % 	2,42 %
Республика Саха 	48,11 % 	46,42 % 	14,35 % 	10,70 % 	15,20 % 	3,14 % 	1,16 % 	2,34 % 	1,56 % 	0,73 % 	0,82 % 	0,49 % 	0,30 % 	0,82 % 	0,16 % 	1,80 %
Сахалинская область 	37,09 % 	44,96 % 	15,55 % 	20,35 % 	3,44 % 	3,27 % 	1,72 % 	3,02 % 	1,67 % 	1,07 % 	0,91 % 	0,72 % 	0,59 % 	0,21 % 	0,14 % 	2,36 %
Камчатский край 	39,55 % 	46,70 % 	12,59 % 	21,31 % 	4,42 % 	2,54 % 	1,40 % 	2,37 % 	1,42 % 	1,26 % 	0,98 % 	0,54 % 	0,74 % 	0,22 % 	0,17 % 	3,34 %
Магаданская область 	40,57 % 	44,69 % 	14,84 % 	19,15 % 	7,72 % 	2,74 % 	1,08 % 	2,51 % 	1,26 % 	1,22 % 	0,87 % 	0,64 % 	0,48 % 	0,35 % 	0,10 % 	2,35 %
Еврейская автономная область 	39,62 % 	45,03 % 	17,11 % 	21,90 % 	2,80 % 	3,31 % 	0,93 % 	1,94 % 	0,98 % 	0,65 % 	0,65 % 	0,45 % 	0,43 % 	0,16 % 	0,14 % 	3,53 %
Чукотский автономный округ 	64,49 % 	58,80 % 	7,76 % 	17,34 % 	3,13 % 	1,62 % 	0,80 % 	2,17 % 	1,21 % 	0,70 % 	0,81 % 	0,39 % 	0,48 % 	0,19 % 	0,13 % 	4,48 %
Красноярский край 	36,67 % 	40,45 % 	14,41 % 	20,26 % 	4,86 % 	3,06 % 	1,57 % 	2,20 % 	1,84 % 	1,02 % 	1,15 % 	0,77 % 	5,13 % 	0,26 % 	0,16 % 	2,86 %
Иркутская область 	32,92 % 	39,80 % 	24,05 % 	17,02 % 	5,18 % 	3,08 % 	1,43 % 	1,94 % 	1,46 % 	1,24 % 	0,89 % 	0,87 % 	0,48 % 	0,30 % 	0,13 % 	2,12 %
Забайкальский край 	36,46 % 	39,87 % 	15,93 % 	26,40 % 	4,17 % 	3,38 % 	0,82 % 	2,13 % 	1,19 % 	0,66 % 	0,78 % 	0,50 % 	0,81 % 	0,35 % 	0,16 % 	2,83 %
Республика Бурятия 	39,63 % 	43,34 % 	20,59 % 	13,54% 	6,55 % 	2,87 % 	1,17 % 	2,19 % 	0,83 % 	3,90 % 	0,57 % 	0,52 % 	0,40 % 	0,82% 	0,14 % 	2,56 %
